"CODIGO";"DESCRIPCION";"LATITUD";"LONGITUD";"DIRECION";"CP";"POBLACION";"PROVINCIA";"PAIS";"CERCANIAS";"FEVE";"COMUN"
"01003";"ARAHAL";"37.2680810";"-5.5485140";"C/ Virgen de los Dolores, S/N";"41600";"ARAHAL";"SEVILLA";"ESPAÑA";"NO";"NO";""
"01005";"MARCHENA";"37.3342820";"-5.4255190";"Avda. Maestro Santos Rúano, 8";"41620";"MARCHENA";"SEVILLA";"ESPAÑA";"NO";"NO";""
"01007";"OSUNA";"37.2338990";"-5.1150260";"Avda. Estación Ferrocarril, S/N";"41640";"OSUNA";"SEVILLA";"ESPAÑA";"NO";"NO";""
"01009";"PEDRERA";"37.2223960";"-4.8935190";"C/ Manuel Aranda, 3";"41566";"PEDRERA";"SEVILLA";"ESPAÑA";"NO";"NO";""
"02002";"PUENTE GENIL-HERRERA";"37.3579000";"-4.8216380";"Ctra. A-318 - Km. 9 - Entre los Pueblos de Puente Genil (Cordoba) y Herrera (Sevilla)";"14500";"PUENTE GENIL";"CÓRDOBA";"ESPAÑA";"NO";"NO";"PTE G"
"02003";"ANTEQUERA-SANTA ANA";"37.0698810";"-4.7190140";"Ctra. Ma - 5406 - Estación Ferrocarril, S/N";"29540";"ANTEQUERA";"MÁLAGA";"ESPAÑA";"NO";"NO";"ANTEQ"
"02030";"ANTEQUERA AV";"37.0334437";"-4.5612901";"Ctra A-7281 Antigua Carretera de Córdoba S/N";"29200";"ANTEQUERA";"MÁLAGA";"ESPAÑA";"NO";"NO";"ANTEQ"
"03001";"MENGÍBAR-ARTICHUELA";"37.9782190";"-3.8033080";"C/ Camino Estación Ferrocarril, S/N";"23620";"MENGÍBAR";"JAÉN";"ESPAÑA";"NO";"NO";""
"03003";"GRANENA (APD-CGD)";"37.8477120";"-3.7653990";"";"";"JAÉN";"JAÉN";"ESPAÑA";"NO";"NO";""
"03100";"JAÉN";"37.7798270";"-3.7907980";"Pla. de Jaen Por la Paz, 1";"23007";"JAÉN";"JAÉN";"ESPAÑA";"NO";"NO";""
"03208";"CUENCA-FERNANDO ZÓBEL";"40.0351920";"-2.1444100";"Avda. Cerro de la Estrella, S/N --- N-320 - Circunvalacion de Cuenca";"16004";"CUENCA";"CUENCA";"ESPAÑA";"NO";"NO";"CUENC"
"03213";"REQUENA-UTIEL";"39.5198340";"-1.1276010";"Autovia A3 - Salida 285";"46340";"REQUENA";"VALENCIA/VALÈNCIA";"ESPAÑA";"NO";"NO";""
"03216";"VALÈNCIA-JOAQUÍN SOROLLA";"39.4590510";"-0.3829230";"C/ San Vicente Martir, 171";"46007";"VALENCIA";"VALENCIA/VALÈNCIA";"ESPAÑA";"SI";"NO";"VALEN"
"03309";"VILLENA ALTA VELOCIDAD";"38.5853020";"-0.8732950";"Partida de San Juan, 182";"03400";"VILLENA";"ALICANTE/ALACANT";"ESPAÑA";"SI";"NO";""
